"exercicio","demonstrativo","periodo","periodicidade","instituicao","cod_ibge","uf","populacao","anexo","esfera","rotulo","coluna","cod_conta","conta","valor"
2023,"RREO",6,"B","Governo do Estado do Paraná",41,"PR",11597484,"RREO-Anexo 03","E","Padrão","Janeiro","ICMSLiquidoExcetoTransferenciasEFUNDEB","ICMS",3396696802
2023,"RREO",6,"B","Governo do Estado do Paraná",41,"PR",11597484,"RREO-Anexo 03","E","Padrão","Fevereiro","ICMSLiquidoExcetoTransferenciasEFUNDEB","ICMS",2875750191
2023,"RREO",6,"B","Governo do Estado do Paraná",41,"PR",11597484,"RREO-Anexo 03","E","Padrão","Março","ICMSLiquidoExcetoTransferenciasEFUNDEB","ICMS",3303671608
2023,"RREO",6,"B","Governo do Estado do Paraná",41,"PR",11597484,"RREO-Anexo 03","E","Padrão","Abril","ICMSLiquidoExcetoTransferenciasEFUNDEB","ICMS",3695495022
2023,"RREO",6,"B","Governo do Estado do Paraná",41,"PR",11597484,"RREO-Anexo 03","E","Padrão","Maio","ICMSLiquidoExcetoTransferenciasEFUNDEB","ICMS",3614986330
2023,"RREO",6,"B","Governo do Estado do Paraná",41,"PR",11597484,"RREO-Anexo 03","E","Padrão","Junho","ICMSLiquidoExcetoTransferenciasEFUNDEB","ICMS",3560570036
2023,"RREO",6,"B","Governo do Estado do Paraná",41,"PR",11597484,"RREO-Anexo 03","E","Padrão","Julho","ICMSLiquidoExcetoTransferenciasEFUNDEB","ICMS",3612400327
2023,"RREO",6,"B","Governo do Estado do Paraná",41,"PR",11597484,"RREO-Anexo 03","E","Padrão","Agosto","ICMSLiquidoExcetoTransferenciasEFUNDEB","ICMS",3941040217
2023,"RREO",6,"B","Governo do Estado do Paraná",41,"PR",11597484,"RREO-Anexo 03","E","Padrão","Setembro","ICMSLiquidoExcetoTransferenciasEFUNDEB","ICMS",4075958492
2023,"RREO",6,"B","Governo do Estado do Paraná",41,"PR",11597484,"RREO-Anexo 03","E","Padrão","Outubro","ICMSLiquidoExcetoTransferenciasEFUNDEB","ICMS",3913886177
2023,"RREO",6,"B","Governo do Estado do Paraná",41,"PR",11597484,"RREO-Anexo 03","E","Padrão","Novembro","ICMSLiquidoExcetoTransferenciasEFUNDEB","ICMS",4047408892
2023,"RREO",6,"B","Governo do Estado do Paraná",41,"PR",11597484,"RREO-Anexo 03","E","Padrão","Dezembro","ICMSLiquidoExcetoTransferenciasEFUNDEB","ICMS",4664675213
